Feature,Linear Regression,Ridge (α=1.0),Lasso (α=1.0),"ElasticNet (α=1.0, ρ=0.5)"
location_Yeshwanthpur,17.812673631840237,-1.3932589820412697,0.0,0.0
location_other,35.407860745056034,16.39364383106207,14.175201347929562,5.967887131937432
area_type_Carpet  Area,16.160613601436047,15.845570807137978,0.0,0.0
area_type_Plot  Area,39.05007579445671,38.69873590143506,17.12808526620727,4.613182145186526
area_type_Super built-up  Area,7.603591009983127,7.677867210885507,0.0,-1.0841544151178883
availability_14-Nov,-32.74574503309151,-14.789932618379257,-0.0,-0.0
availability_15-Aug,3.5749496188681182,3.226794492386556,-0.0,-0.0
availability_15-Dec,52.00699652556558,27.55563312872632,0.0,0.0
availability_15-Jun,-9.13141963293722,-3.06628167994668,-0.0,-0.0
availability_15-Nov,-0.6800065291993143,1.1110322814301505,0.0,-0.0
availability_15-Oct,5.3290705182007514e-14,0.0,0.0,0.0
availability_16-Dec,-34.389709187800015,-15.197541457304146,-0.0,0.0
availability_16-Jul,21.420420093681052,12.056809240093699,0.0,0.0
availability_16-Mar,-2.350387821759286,0.20915459141079085,0.0,0.0
availability_16-Nov,-55.7078376287425,-26.434205282696553,-0.0,-0.0
availability_16-Oct,20.039747473681654,11.56427019488948,0.0,-0.0
availability_16-Sep,-66.0773731738712,-40.135240898288956,-0.0,0.0
availability_17-Apr,-35.97237431332308,-26.4205270096173,-0.0,-0.0
availability_17-Aug,-12.140703189709471,-7.057389496695708,-0.0,-0.0
availability_17-Dec,-19.219084975650276,-15.35700664428035,0.0,0.0
availability_17-Jan,-26.852772120066792,-12.119309059036139,-0.0,-0.0
availability_17-Jul,-15.016947078920207,-11.588032704278929,-0.0,-0.0
availability_17-Jun,-16.366350350832207,-11.907369279818742,-0.0,-0.0
availability_17-Mar,-12.442120484770442,-7.246225892171431,-0.0,-0.0
availability_17-May,-31.054935911597557,-23.316628028281855,-0.0,0.0
availability_17-Nov,-3.520146480412779,-0.915298757265535,-0.0,-0.0
availability_17-Oct,-27.720637184865026,-23.34533777973411,-0.0,-0.0
availability_17-Sep,-16.285872571216668,-11.317989596836034,-0.0,-0.0
availability_18-Apr,-7.597693743663817,-4.746833156954031,0.0,0.0
availability_18-Aug,-18.778294362479755,-15.9348074973498,-0.0,-0.0
availability_18-Dec,-22.57533839736581,-19.689968240857628,-0.0,-0.0
availability_18-Feb,-13.12805898527605,-8.681027527487633,0.0,0.0
availability_18-Jan,112.56901088874315,110.22738832758763,0.0,0.0
availability_18-Jul,-30.420338417113843,-27.501767728096574,-0.0,-0.0
availability_18-Jun,-16.858925340372245,-14.006585240027684,-0.0,-0.0
availability_18-Mar,-7.62272083719985,-4.891135967359105,0.0,0.0
availability_18-May,-9.880437344913592,-7.262436742927383,0.0,0.0
availability_18-Nov,-20.668614471033088,-17.094846915158588,-0.0,-0.0
availability_18-Oct,-24.11456265022997,-20.334320973340876,-0.0,-0.0
availability_18-Sep,-27.489368744410132,-23.41701213603544,-0.0,-0.0
availability_19-Apr,-17.568850558791297,-13.254021340021325,-0.0,-0.0
availability_19-Aug,-10.369651222017254,-7.629760736441541,-0.0,-0.0
availability_19-Dec,-6.775831351205765,-3.3819296420320373,0.0,0.0
availability_19-Feb,-3.725844385552608,-0.5764836501590312,0.0,-0.0
availability_19-Jan,68.64782902915834,66.22607965489304,0.0,0.0
availability_19-Jul,-28.063245784427515,-16.949514936048022,0.0,0.0
availability_19-Jun,-16.514218838674015,-13.245576887555076,-0.0,0.0
availability_19-Mar,2.4248066854460557,5.083880288458126,0.0,0.0
availability_19-May,-27.170827767931016,-18.472915414806717,-0.0,-0.0
availability_19-Nov,-15.178929588177894,-8.9343136574201,-0.0,-0.0
availability_19-Oct,-6.499262543367394,-3.258716676487852,0.0,0.0
availability_19-Sep,-11.21285218168639,-7.636404113551768,0.0,0.0
availability_20-Apr,185.3889936443788,125.0544743345534,0.0,0.0
availability_20-Aug,-0.277625675534118,2.464570170331327,0.0,0.0
availability_20-Dec,-12.252958365610342,-9.293155034379573,-0.0,-0.0
availability_20-Feb,-36.273586590844566,-21.35588104230956,-0.0,-0.0
availability_20-Jan,-16.2036894927923,-11.75279379087052,0.0,0.0
availability_20-Jul,387.55383541700087,194.50996033267816,0.0,0.0
availability_20-Jun,-5.1769190922862975,-1.9283091391211176,0.0,0.0
availability_20-Mar,0.12076613459927987,1.8413133771506696,0.0,-0.0
availability_20-May,175.09563071829,88.58794488092073,0.0,0.0
availability_20-Nov,-5.121678881473547,-1.9691513816432118,0.0,-0.0
availability_20-Oct,-8.49077983966767,-4.819019942275026,0.0,-0.0
availability_20-Sep,-13.627098225270164,-9.343264178323915,-0.0,0.0
availability_21-Aug,-31.9623265439465,-14.562930897580161,-0.0,-0.0
availability_21-Dec,-2.6144727578203764,0.21135588062259528,0.0,-0.0
availability_21-Feb,6.694398541212568,6.651845249929133,0.0,0.0
availability_21-Jan,-4.773985119701361,-1.4269065372674303,0.0,0.0
availability_21-Jul,-8.856914121512443,-5.122823440459692,-0.0,-0.0
availability_21-Jun,-17.227362235706327,-11.42872994224164,0.0,0.0
availability_21-Mar,-2.832279098744037,-0.17710165363389874,0.0,-0.0
availability_21-May,-2.2551485396537636,0.413802307512187,0.0,-0.0
availability_21-Nov,-20.97853416591196,-13.345756181750163,-0.0,-0.0
availability_21-Oct,13.127183478206327,12.043731123679578,0.0,0.0
availability_21-Sep,-5.109831113527292,-2.2367771302852493,0.0,-0.0
availability_22-Dec,-11.679153455185386,-7.224534662984045,-0.0,-0.0
availability_22-Jan,-21.631456027760212,-15.01466350844758,-0.0,-0.0
availability_22-Jun,-28.289468365560705,-12.677408905528871,-0.0,-0.0
availability_22-Mar,9.187147143400544,8.587004784755495,0.0,0.0
availability_22-May,-10.710720930400019,-6.261478470026386,-0.0,0.0
availability_22-Nov,-16.967544378213212,-8.881000141289823,-0.0,-0.0
availability_Ready To Move,-14.649891190452522,-11.690663298129145,-0.0,0.0
